"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"2","0.064301","52.114.49.140","192.168.43.56","STUN","195","Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 52.114.49.140:3480 XOR-MAPPED-ADDRESS: 49.35.218.94:50037[Malformed Packet]"
"3","0.064301","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"4","0.064594","52.112.89.131","192.168.43.56","UDP","129","3481  >  50057 Len=87"
"5","0.064594","52.112.89.131","192.168.43.56","UDP","81","3479  >  50001 Len=39"
"6","0.064594","52.112.89.131","192.168.43.56","UDP","1257","3479  >  50001 Len=1215"
"7","0.104031","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"8","0.109749","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"9","0.223848","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"10","0.233420","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50037"
"11","0.302501","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50057"
"12","0.307399","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50049"
"13","0.454674","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2404:6800:4009:80c::2004","ICMPv6","94","Echo (ping) request id=0x0001, seq=68, hop limit=128 (reply in 15)"
"14","0.460179","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"15","0.533773","2404:6800:4009:80c::2004","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","ICMPv6","94","Echo (ping) reply id=0x0001, seq=68, hop limit=117 (request in 13)"
"16","0.565246","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"17","0.582042","192.168.43.56","52.112.89.131","UDP","158","50001  >  3479 Len=116"
"18","0.869712","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"19","0.942381","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50001"
"20","1.275607","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"21","1.309120","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"22","1.326635","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"23","1.326904","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"24","1.343948","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"25","1.452774","192.168.43.56","52.112.89.131","UDP","141","50057  >  3481 Len=99"
"26","1.475708","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2404:6800:4009:80c::2004","ICMPv6","94","Echo (ping) request id=0x0001, seq=69, hop limit=128 (reply in 30)"
"27","1.504644","52.112.89.131","192.168.43.56","UDP","141","3481  >  50049 Len=99"
"28","1.507851","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"29","1.532431","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50037"
"30","1.539649","2404:6800:4009:80c::2004","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","ICMPv6","94","Echo (ping) reply id=0x0001, seq=69, hop limit=117 (request in 26)"
"31","1.594753","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50057"
"32","1.594753","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50049"
"33","1.767152","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"34","1.820900","192.168.43.56","52.112.89.131","UDP","177","50001  >  3479 Len=135"
"35","1.860238","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"36","1.916320","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"37","1.964521","192.168.43.56","52.112.89.131","UDP","158","50001  >  3479 Len=116"
"38","2.368472","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"39","2.379953","52.112.89.131","192.168.43.56","UDP","129","3481  >  50057 Len=87"
"40","2.379953","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50001"
"41","2.380171","52.112.89.131","192.168.43.56","UDP","141","3480  >  50037 Len=99"
"42","2.393082","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"43","2.507955","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"44","2.594638","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"45","2.699024","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"46","2.700530","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"47","2.700841","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"48","2.733827","192.168.43.56","52.112.89.131","UDP","141","50049  >  3481 Len=99"
"49","2.817572","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50037"
"50","2.838750","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"51","2.915279","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50057"
"52","2.915279","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50049"
"53","3.093511","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"54","3.438471","192.168.43.56","52.112.89.131","UDP","158","50001  >  3479 Len=116"
"55","3.467392","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"56","3.505291","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"57","3.611388","192.168.43.56","52.112.89.131","UDP","93","50057  >  3481 Len=51"
"58","3.611513","192.168.43.56","52.112.89.131","UDP","1269","50057  >  3481 Len=1227"
